SEP=,
item.palamod.symbiotic_chestplate,Plastron d'Symbiotic,Symbiotic Chestplate
item.palamod.jump_chestplate,Plastron d'Jump,Jump Chestplate
block.palamod.custom_magenta_wool,Custom Magenta Wool,Custom Magenta Wool
painting.palamod.goldfish.author,Paladium,Paladium
item.palamod.paladium_trim_4_chestplate.description_0,Raiser Armor Trim,Raiser Armor Trim
item.palamod.paladium_trim_2_helmet,Casque d'Paladium,Paladium Helmet
painting.palamod.the_beautifull_sky.title,The Beautifull Sky,The Beautifull Sky
item.palamod.fallen_axe,Fallen Axe,Fallen Axe
item.palamod.paladium_trim_1_boots,Paladium Boot,Paladium Boot
item.palamod.tournament_red_helmet,Casque d'Tournament Red,Tournament Red Helmet
item.palamod.paladium_trim_5_boots.description_0,Silence Armor Trim,Silence Armor Trim
item.palamod.paladium_stick,Paladium Stick,Paladium Stick
item.palamod.titane_chestplate,Plastron d'Titane,Titane Chestplate
item.palamod.paladium_trim_7_helmet,Casque d'Paladium,Paladium Helmet
gui.palamod.palabot_gui.label_palabot_inventory,Palabot Inventory,Palabot Inventory
item.palamod.angelic_water_bucket,Angelic Water Bucket,Angelic Water Bucket
item.palamod.tournament_blue_sword,Tournament Blue Sword,Tournament Blue Sword
block.palamod.erable_pressure_plate,Erable Pressure Plate,Erable Pressure Plate
item.palamod.present_bag,Present Bag,Present Bag
item.palamod.amethyst_hoe,Améthyste Houe,Amethyst Hoe
gui.palamod.golem_box_gui.label_guardian_box,Guardian Box,Guardian Box
item.palamod.titane_excavator,Titane Excavator,Titane Excavator
block.palamod.trixium_ore,Minerai de Trixium,Trixium Ore
painting.palamod.large_sky.author,Paladium,Paladium
item.palamod.ham,Ham,Ham
item.palamod.symbiotic_boots,Symbiotic Boot,Symbiotic Boot
gui.palamod.wrench_gui.button_empty,OK,OK
block.palamod.paladium_ore,Minerai de Paladium,Paladium Ore
item.palamod.august_ticket,August Ticket,August Ticket
block.palamod.deepslate_paladium_ore,Minerai de Deepslate Paladium,Deepslate Paladium Ore
advancements.go_paladiump.descr,Lets Go !!!!!!!!!!!!!!!,Lets Go !!!!!!!!!!!!!!!
item.palamod.endium_mixed_helmet,Casque d'Mixed Endium,Mixed Endium Helmet
item.palamod.gogglesofcommunity_helmet,Goggles of community,Goggles of community
gui.palamod.paladium_book_gui.label_thank_you_for_playing,Thank you for playing,Thank you for playing
item.palamod.heal_stick,Heal Stick,Heal Stick
item.palamod.christmas_axe,Christmas Axe,Christmas Axe
item.palamod.titane_broad_sword,Titane Broadsword,Titane Broadsword
item.palamod.paladium_sword_17,Paladium Sword 1.7,Paladium Sword 1.7
item.palamod.june_ticket,June Ticket,June Ticket
block.palamod.endium_block,Endium Block,Endium Block
block.palamod.endium_ore,Minerai de Endium,Endium Ore
painting.palamod.beautifull_cherry_grove.title,Beautifull Cherry Grove,Beautifull Cherry Grove
item.palamod.masque_squid_games_helmet,Casque d'Squid Games,Squid Games Helmet
item.palamod.wing,Wing,Wing
block.palamod.judeercercis_planks,Judeecercis Planks,Judeecercis Planks
item.palamod.potion_launcher.description_0,Throw your potions without taking them in hand,Throw your potions without taking them in hand
block.palamod.water_log,Birch Water Log,Birch Water Log
item.palamod.compressed_amethyst,Compressed Améthyste,Compressed Amethyst
item.palamod.paladium_trim_1_chestplate.description_0,Rib Armor Trim,Rib Armor Trim
item.palamod.halloween_stone_broken,Halloween Stone Broken,Halloween Stone Broken
item.palamod.palamod_categorie,Palamod Categorie,Palamod Categorie
item.palamod.paladium_excavator,Paladium Excavator,Paladium Excavator
item.palamod.paladium_book,Paladium Book,Paladium Book
block.palamod.water_stairs,Birch Water Escaliers,Birch Water Stairs
block.palamod.cave_block,Cave Block,Cave Block
item.palamod.trixium,Trixium,Trixium
item.palamod.titane_particle,Titane Particle,Titane Particle
block.palamod.jacaranda_planks,Jacaranda Planks,Jacaranda Planks
item.palamod.titane_sword,Titane Sword,Titane Sword
item.palamod.anti_fuze_disk,Disque de musique,Music Disc
item.palamod.chest_explorer,Coffre Explorer,Chest Explorer
block.palamod.findium_lucky_block,Findium Lucky Block,Findium Lucky Block
gui.palamod.paladium_book_gui.label_welcome_to_the_palamod_remade,Welcome to the Palamod,Welcome to the Palamod
block.palamod.harpagophytum,Harpagophytum,Harpagophytum
gui.palamod.back_pack_amethyst.label_backpack,Améthyste BackPack,Amethyst BackPack
item.palamod.potion_launcher,Potion Launcher,Potion Launcher
item.palamod.power_helmet,Casque d'Power,Power Helmet
block.palamod.safe_chest,Coffre de Safe,Safe Chest
item.palamod.paladium_back_pack,Paladium Back Pack,Paladium Back Pack
block.palamod.findium_slab,Findium Slab,Findium Slab
item.palamod.easter_ticket,Easter Ticket,Easter Ticket
painting.palamod.good_space.author,Paladium,Paladium
block.palamod.green_paladium_block,Green Paladium Block,Green Paladium Block
block.palamod.findium_ore,Minerai de Findium,Findium Ore
block.palamod.hunter_flower,Hunter Flower,Hunter Flower
item.palamod.amethyst_pickaxe,Améthyste Pioche,Amethyst Pickaxe
item.palamod.jeff_the_killer_spawn_egg,Jeff The Killer Spawn Egg,Jeff The Killer Spawn Egg
block.palamod.xp_bush_step_2,XP Bush,XP Bush
item.palamod.travel_boots,Travel Boot,Travel Boot
item.palamod.golem_food,Croquette,Croquette
block.palamod.christmas_ore,Minerai de Christmas,Christmas Ore
item.palamod.halloween_stone,Halloween Stone,Halloween Stone
item.palamod.halloween_music_disk,Disque de musique,Music Disc
item.palamod.paladium_trim_6_boots,Paladium Boot,Paladium Boot
item.palamod.candy_blue,Candy Blue,Candy Blue
block.palamod.erable_fence_gate,Erable Fence Gate,Erable Fence Gate
block.palamod.palaforge,Palaforge,Palaforge
block.palamod.block_categorie,Block Categorie,Block Categorie
item.palamod.anti_fuze_disk.desc,AntiFuze - Fuze III,AntiFuze - Fuze III
item_group.palamod.pala_mod,§l§cPalamod,§l§cPalamod
item.palamod.paladium_trim_7_helmet.description_0,Vex Armor Trim,Vex Armor Trim
block.palamod.paladium_stairs,Paladium Escaliers,Paladium Stairs
gui.palamod.main_menu_mod.label_palamod_20251,Palamod - 26.10.2,Palamod - 26.10.2
item.palamod.sealed_xp_bottle,Sealed XP Bottle,Sealed XP Bottle
item.palamod.paladium_head_fastsword,Paladium Head Fastsword,Paladium Head Fastsword
item.palamod.paladium_trim_1_leggings.description_0,Rib Armor Trim,Rib Armor Trim
item.palamod.green_paladium_helmet,Casque d'Green Paladium,Green Paladium Helmet
block.palamod.ostrya_slab,Ostrya Slab,Ostrya Slab
item.palamod.amethyst_sword,Améthyste Sword,Amethyst Sword
block.palamod.grinder_frame,Broyeur Frame,Grinder Frame
block.palamod.paladium_chest,Coffre de Paladium,Paladium Chest
item.palamod.speed_stick,Speed Stick,Speed Stick
item.palamod.paladium_trim_2_leggings,Jambières de Paladium,Paladium Leggings
block.palamod.titane_stairs,Titane Escaliers,Titane Stairs
item.palamod.paladium_trim_3_helmet,Casque d'Paladium,Paladium Helmet
item.palamod.paladium_shovel,Paladium Shovel,Paladium Shovel
block.palamod.erable_button,Bouton de Erable,Erable Button
item.palamod.purifite_divine,Purifite Divine,Purifite Divine
item.palamod.arty_spawn_egg,Arty Spawn Egg,Arty Spawn Egg
block.palamod.hardened_obsidian_slab,Hardened Obsidian Slab,Hardened Obsidian Slab
item.palamod.shovel_head,Shovel Head,Shovel Head
item.palamod.titane_pickaxe,Titane Pioche,Titane Pickaxe
item.palamod.pig_helmet,Casque d'Pig,Pig Helmet
block.palamod.water_leaves,Birch Water Feuilles,Birch Water Leaves
item.palamod.paladium_trim_6_helmet,Casque d'Paladium,Paladium Helmet
item.minecraft.potion.effect.corrupted_potion,Potion of Corruption,Potion of Corruption
block.palamod.findium_stairs,Findium Escaliers,Findium Stairs
item.palamod.elucidator_sword,Elucidator Sword,Elucidator Sword
item.palamod.pig_chestplate,Plastron d'Pig,Pig Chestplate
subtitles.jingle_bell,Jingle Bell,Jingle Bell
item.palamod.paladium_big_ring,Paladium Big Ring,Paladium Big Ring
block.palamod.sulfuric_obsidian,Sulfuric Obsidian,Sulfuric Obsidian
item.palamod.paladium_trim_9_helmet.description_0,Wayfinder Armor Trim,Wayfinder Armor Trim
gui.palamod.online_detector_gui.onlinedetect,player,player
item.palamod.paladium_trim_7_chestplate.description_0,Vex Armor Trim,Vex Armor Trim
item.palamod.paladium_trim_7_chestplate,Plastron d'Paladium,Paladium Chestplate
item.palamod.paladium_head_hammer,Paladium Head Marteau,Paladium Head Hammer
item.palamod.tournament_red_boots,Tournament Red Boot,Tournament Red Boot
item.palamod.paladium_fastsword,Paladium Fastsword,Paladium Fastsword
block.palamod.ultra_safe_chest,Coffre de Ultra Safe,Ultra Safe Chest
item.palamod.tournament_blue_chestplate,Plastron d'Tournament Blue,Tournament Blue Chestplate
block.palamod.judeercercis_log,Judeecercis Log,Judeecercis Log
item.palamod.order_leggings,Jambières de Order,Order Leggings
item.palamod.green_paladium_leggings,Jambières de Green Paladium,Green Paladium Leggings
item.palamod.green_paladium_hoe,Green Paladium Houe,Green Paladium Hoe
item.palamod.tournament_red_leggings,Jambières de Tournament Red,Tournament Red Leggings
block.palamod.obsidian_slab,Obsidian Slab,Obsidian Slab
item.palamod.capture_stone_full_villager,Capture Stone Full,Capture Stone Full
item.palamod.marinated_mutton,Marinated Mutton,Marinated Mutton
block.palamod.water_slab,Birch Water Slab,Birch Water Slab
item.palamod.paladium_trim_4_leggings.description_0,Raiser Armor Trim,Raiser Armor Trim
painting.palamod.gray_horizon.author,Paladium,Paladium
gui.palamod.mega_safe_chest_gui.label_safe_chest,Coffre de Mega Safe,Mega Safe Chest
block.palamod.ostrya_wood,Ostrya Wood,Ostrya Wood
painting.palamod.large_paladium.title,Large Paladium,Large Paladium
gui.palamod.paladium_book_gui.label_good_games_player,Good Games player,Good Games player
item.palamod.capture_stone_full_cow.description_0,Entity = Cow,Entity = Cow
item.palamod.capture_stone_full_arty,Capture Stone Full,Capture Stone Full
subtitles.squid_games,Squid - Games,Squid - Games
gui.palamod.safe_chest_gui.label_safe_chest,Coffre de Safe,Safe Chest
item.minecraft.potion.effect.anti_fake,Potion of Anti Fake,Potion of Anti Fake
item.palamod.tournament_red_sword,Tournament Red Sword,Tournament Red Sword
item.palamod.fake_endium_chestplate,Plastron d'Fake Endium,Fake Endium Chestplate
item.palamod.tournament_blue_helmet,Casque d'Tournament Blue,Tournament Blue Helmet
entity.palamod.fuze_iii,Fuze III,Fuze III
item.palamod.paladium_best_sound,Disque de musique,Music Disc
item.palamod.paladium_fishing_rod,Paladium Fishing Rod,Paladium Fishing Rod
item.palamod.paladium_trim_3_chestplate,Plastron d'Paladium,Paladium Chestplate
item.palamod.clash_kumiz.desc,Clash contre Kumiz Musique de Fuze,Clash contre Kumiz Musique de Fuze
gui.palamod.ultra_safe_chest_gui.label_safe_chest,Coffre de Ultra Safe,Ultra Safe Chest
item.palamod.paladium_trim_5_leggings,Jambières de Paladium,Paladium Leggings
item.palamod.silwox_spawn_egg,SILWOX Spawn Egg,SILWOX Spawn Egg
block.palamod.xp_bush,XP Bush,XP Bush
item.palamod.fuze_reine_des_neige_disk.desc,Fuze La Reine des Neige,Fuze La Reine des Neige
item.palamod.paladium_boots,Paladium Boot,Paladium Boot
painting.palamod.minuit.author,Paladium,Paladium
item.palamod.paladium_trim_5_helmet.description_0,Silence Armor Trim,Silence Armor Trim
block.palamod.purple_slimepad,Purple Slimepad,Purple Slimepad
item.palamod.endium_small_ring,Endium Small Ring,Endium Small Ring
item.palamod.mixed_endium,Mixed Endium,Mixed Endium
block.palamod.deepslate_findium_ore,Minerai de Deepslate Findium,Deepslate Findium Ore
block.palamod.mystical_bookshelf,Mystical Bookshelf,Mystical Bookshelf
block.palamod.orange_slimepad,Orange Slimepad,Orange Slimepad
block.palamod.hardened_obsidian_stairs,Hardened Obsidian Escaliers,Hardened Obsidian Stairs
item.palamod.marinated_porkchop,Marinated Porkchop,Marinated Porkchop
item.palamod.christmas_leggings,Jambières de Christmas,Christmas Leggings
item.palamod.paladium_trim_10_chestplate,Plastron d'Paladium,Paladium Chestplate
item.palamod.paint_ball_yellow,Paint Ball Yellow,Paint Ball Yellow
item.palamod.endium_mixed_leggings,Jambières de Mixed Endium,Mixed Endium Leggings
gui.palamod.palamachine_gui.label_palamachine,Palamachine,Palamachine
entity.palamod.jeff_the_killer,Jeff The Killer,Jeff The Killer
block.palamod.ostrya_fence,Ostrya Fence,Ostrya Fence
entity.palamod.corrupted_slime,Corrupted Slime,Corrupted Slime
item.palamod.nexus_order,Nexus Shard Order,Nexus Shard Order
item.palamod.titane_ingot,Titane Ingot,Titane Ingot
entity.palamod.silwox,SILWOX,SILWOX
item.palamod.obsidian_pickaxe,Obsidian Pioche,Obsidian Pickaxe
item.palamod.green_paladium_shovel,Green Paladium Shovel,Green Paladium Shovel
block.palamod.corruptedore,CORRUPTED ORE,CORRUPTED ORE
gui.palamod.totem_of_flowery_gui.label_totem_of_flowery,Totem Of Flowery,Totem Of Flowery
painting.palamod.in_the_desert.title,In The Desert,In The Desert
item.palamod.chervil,Chervil,Chervil
item.palamod.capture_stone_full_villager.description_0,Entity = Villager,Entity = Villager
item.palamod.invisible_helmet,Casque d'Invisible,Invisible Helmet
block.palamod.custom_lime_wool,Custom Lime Wool,Custom Lime Wool
block.palamod.titane_slab,Titane Slab,Titane Slab
item.palamod.order_helmet,Casque d'Order,Order Helmet
block.palamod.mega_boom_obsidian,Mega Boom Obsidian,Mega Boom Obsidian
item.palamod.mii_chalenge,Disque de musique,Music Disc
item.palamod.paladium_trim_6_boots.description_0,Tide Armor Trim,Tide Armor Trim
item.palamod.compressed_titane,Compressed Titane,Compressed Titane
item.palamod.legendary_stone_chaos.description_0,Click and get random fragments or ingots from the world,Click and get random fragments or ingots from the world
item.palamod.paladium_trim_4_boots.description_0,Raiser Armor Trim,Raiser Armor Trim
block.palamod.paladium_banner,Paladium Banner,Paladium Banner
item.palamod.paladium_trim_1_helmet.description_0,Rib Armor Trim,Rib Armor Trim
item.palamod.paladium_trim_6_chestplate.description_0,Tide Armor Trim,Tide Armor Trim
item.palamod.dynamite,Dynamite,Dynamite
block.palamod.paladium_hopper,Paladium Hopper,Paladium Hopper
item.palamod.symbiotic_leggings,Jambières de Symbiotic,Symbiotic Leggings
item.palamod.paladium_trim_2_chestplate.description_0,Coast Armor Trim,Coast Armor Trim
block.palamod.amethyst_slab,Améthyste Slab,Amethyst Slab
block.palamod.custom_brown_wool,Custom Brown Wool,Custom Brown Wool
subtitles.paladium_go,Paladium GO,Paladium GO
item.palamod.endium_leggings,Jambières de Endium,Endium Leggings
item.palamod.eggplant,Eggplant,Eggplant
item.minecraft.splash_potion.effect.anti_fake,Splash Potion of Anti Fake,Splash Potion of Anti Fake
entity.palamod.arty,Arty,Arty
item.palamod.paladium_trim_6_chestplate,Plastron d'Paladium,Paladium Chestplate
item.palamod.compressed_endium,Compressed Endium,Compressed Endium
block.palamod.erable_slab,Erable Slab,Erable Slab
item.palamod.paladium_helmet,Casque d'Paladium,Paladium Helmet
item.palamod.jump_orb,Jump Orb,Jump Orb
item.palamod.diamond_string,Diamond String,Diamond String
gui.palamod.back_pack_titanevrai.label_backpack,Titane BackPack,Titane BackPack
painting.palamod.goldfish.title,Goldfish,Goldfish
subtitles.fuze_reine_des_neige,Fuze Reine Des Neige,Fuze Reine Des Neige
item.palamod.nexus_chaos,Nexus Shard Chaos,Nexus Shard Chaos
block.palamod.amethyst_block,Améthyste Block,Amethyst Block
item.palamod.corrupted_splash_potion,Corrupted Splash Potion,Corrupted Splash Potion
item.palamod.paladium_trim_7_leggings.description_0,Vex Armor Trim,Vex Armor Trim
item.palamod.back_packitem,Back Pack,Back Pack
gui.palamod.safe_chest_gui.changepass,Change Password,Change Password
block.palamod.paladium_furnace,Paladium Furnace,Paladium Furnace
item.palamod.endium_ingot,Endium Ingot,Endium Ingot
gui.palamod.halloween_day.label_halloween_31th,Halloween 31th,Halloween 31th
item.palamod.titane_axe,Titane Axe,Titane Axe
entity.palamod.blue_palabot,BLUE Palabot,BLUE Palabot
item.palamod.titane_shovel,Titane Shovel,Titane Shovel
biome.palamod.corruption_world,Corruption,Corruption
item.palamod.block_pattern,Block Pattern,Block Pattern
item.palamod.tournament_blue_leggings,Jambières de Tournament Blue,Tournament Blue Leggings
block.palamod.ostrya_fence_gate,Ostrya Fence Gate,Ostrya Fence Gate
block.palamod.water_pressure_plate,Birch Water Pressure Plate,Birch Water Pressure Plate
block.palamod.eggplant_seed_stage_2,Eggplant Seed,Eggplant Seed
item.palamod.capture_stone_full_sheep,Capture Stone Full,Capture Stone Full
block.palamod.eggplant_seed_stage_3,Eggplant Seed,Eggplant Seed
subtitles.on_mappel_fuzeiii,Fuze III : on m'appel Fuze III,Fuze III : on m'appel Fuze III
block.palamod.eggplant_seed_stage_4,Eggplant Seed,Eggplant Seed
painting.palamod.the_purpul_butterfly.title,The Purpul Butterfly,The Purpul Butterfly
item.palamod.endium_axe,Endium Axe,Endium Axe
item.palamod.skeleton_chestplate,Plastron d'Skeleton,Skeleton Chestplate
block.palamod.ostrya_log,Ostrya Log,Ostrya Log
item.palamod.paladium_sword_17.description_0,Only Creative mode tool,Only Creative mode tool
block.palamod.cobblebreaker,Cobblebreaker,Cobblebreaker
block.palamod.big_obsidian,Big Obsidian,Big Obsidian
block.palamod.water_button,Bouton de Birch Water,Birch Water Button
painting.palamod.the_forest.title,The Forest,The Forest
block.palamod.water_planks,Birch Water Planks,Birch Water Planks
item.palamod.mars_ticket,Mars Ticket,Mars Ticket
item.palamod.paladium_trim_8_leggings,Jambières de Paladium,Paladium Leggings
block.palamod.paladium_slab,Paladium Slab,Paladium Slab
item.palamod.amethyst_pollen,Améthyste Pollen,Amethyst Pollen
item.palamod.paladium_trim_1_helmet,Casque d'Paladium,Paladium Helmet
item.palamod.purifite_awesome,Purifite Awesome,Purifite Awesome
gui.palamod.paladium_book_gui.label_this_mod_is_not,This mod is not an,This mod is not an
gui.palamod.paladium_book_gui.label_give_you_a_perfect,give you a perfect,give you a perfect
painting.palamod.butterfly_here.author,Paladium,Paladium
biome.palamod.purified,Purified,Purified
painting.palamod.good_space.title,Good Space,Good Space
item.palamod.endium_seedplanter,Endium Seedplanter,Endium Seedplanter
item.palamod.halloween_shovel,Halloween Shovel,Halloween Shovel
block.palamod.amethyst_stairs,Améthyste Escaliers,Amethyst Stairs
item.palamod.banana,Banana,Banana
item.palamod.paladium_trim_3_leggings,Jambières de Paladium,Paladium Leggings
item.palamod.chocolat_egg,Chocolat Egg,Chocolat Egg
item_group.palamod.halloween,§eHalloween,§eHalloween
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii5,Halloween,Halloween
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii4,Mii Cover,Mii Cover
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii7,Christmas (Mariah Carey),Christmas (Mariah Carey)
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii6,Jingle Bell,Jingle Bell
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii9,Gangnam Style,Gangnam Style
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii8,Anti Fuze,Anti Fuze
item.palamod.paladium_trim_3_leggings.description_0,Eye Armor Trim,Eye Armor Trim
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii1,Clash Kumiz,Clash Kumiz
item.palamod.capture_stone_full_iron_golem.description_0,Entity = Iron Golem,Entity = Iron Golem
block.palamod.jacaranda_log,Jacaranda Log,Jacaranda Log
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii3,Best Sound,Best Sound
item.palamod.christmas_boots,Christmas Boot,Christmas Boot
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii2,Roulette Paladienne,Roulette Paladienne
item.palamod.christmas_helmet,Casque d'Christmas,Christmas Helmet
painting.palamod.palalogo.author,Paladium,Paladium
fluid.palamod.angelic_water,Angelic Water,Angelic Water
item.palamod.gold_mixed_coal,Gold Mixed Coal,Gold Mixed Coal
gui.palamod.palaforge_gui.label_palaforge,Palaforge,Palaforge
item.palamod.candy_green,Candy Green,Candy Green
item.palamod.july_ticket,July Ticket,July Ticket
gui.palamod.order_vs_chaos_gui.button_chaos,Chaos,Chaos
item.palamod.paladium_go_disk,Disque de musique,Music Disc
painting.palamod.large_sky.title,Large Sky,Large Sky
block.palamod.obsidian_trapdoor,Obsidian Door,Obsidian Door
item.palamod.may_ticket,May Ticket,May Ticket
block.palamod.custom_yellow_wool,Custom Yellow Wool,Custom Yellow Wool
item.palamod.paladium_trim_9_leggings,Jambières de Paladium,Paladium Leggings
item.palamod.paladium_trim_3_chestplate.description_0,Eye Armor Trim,Eye Armor Trim
item.palamod.sword_pattern,Sword Pattern,Sword Pattern
painting.palamod.the_golem.title,The Golem,The Golem
entity.palamod.red_palabot,RED Palabot,RED Palabot
item.palamod.corrupted_lucky_sword,CORRUPTED.LUCKIUM.SWORD,CORRUPTED.LUCKIUM.SWORD
item.palamod.silwox_head_helmet,SILWOX Head,SILWOX Head
item.palamod.titane_leggings,Jambières de Titane,Titane Leggings
item.palamod.paladium_seedplanter,Paladium Seedplanter,Paladium Seedplanter
gui.palamod.cobblebreaker_gui.label_cobblebreaker,Cobblebreaker,Cobblebreaker
item.palamod.star_helmet_helmet.description_0,The super Paladium Lucky Hat !!!,The super Paladium Lucky Hat !!!
block.palamod.judeercercis_wood,Judeecercis Wood,Judeecercis Wood
item.palamod.silwox_head_helmet.description_0,SILWOX Head,SILWOX Head
block.palamod.judeercercis_stairs,Judeecercis Escaliers,Judeecercis Stairs
item.palamod.spacefood.description_0,Is Space food miummm go in the moon,Is Space food miummm go in the moon
block.palamod.judeercercis_fence,Judeecercis Fence,Judeecercis Fence
item.palamod.multicolort_gift,Multicolort Gift,Multicolort Gift
block.palamod.mineral_flower,Mineral Flower,Mineral Flower
item.palamod.amethyst_broadsword,Améthyste Broadsword,Amethyst Broadsword
key.palamod.slimy_helmet,Casque d'Slimy,Slimy Helmet
block.palamod.guardian_block,Guardian Block,Guardian Block
block.palamod.custom_green_wool,Custom Green Wool,Custom Green Wool
item.palamod.endium_mixed_chestplate,Plastron d'Mixed Endium,Mixed Endium Chestplate
item.palamod.paladium_trim_6_leggings.description_0,Tide Armor Trim,Tide Armor Trim
block.palamod.custom_lightblue_wool,Custom Lighblue Wool,Custom Lighblue Wool
item.palamod.marinated_rottenflesh,Marinated Rottenflesh,Marinated Rottenflesh
item.palamod.paladium_trim_2_helmet.description_0,Coast Armor Trim,Coast Armor Trim
item.palamod.trixiar_hat_helmet,Trixiar Hat,Trixiar Hat
subtitles.mii,Mii Challenge,Mii Challenge
item.palamod.paladium_leggings,Jambières de Paladium,Paladium Leggings
item.palamod.titane_back_pack,Titane Back Pack,Titane Back Pack
item.palamod.orange_blue,Orange Blue,Orange Blue
item.palamod.red_unclaim_finder,Red Unclaim Finder,Red Unclaim Finder
item.palamod.superman_cape_chestplate,Superman,Superman
painting.palamod.beautifull_cherry_grove.author,Paladium,Paladium
gui.palamod.load_thanks_you.label_palamod_20251,Thanks you for playing Palamod,Thanks you for playing Palamod
block.palamod.trixium_block,Trixium Block,Trixium Block
item.palamod.endium_nugget,Endium Nugget,Endium Nugget
item.palamod.mini_golem,Mini Golem,Mini Golem
block.palamod.custom_purpul_wool,Custom Purple Wool,Custom Purple Wool
item.palamod.admin_radio,Admin Radio,Admin Radio
gui.palamod.symbiotic_gui.label_symbiotic_armor,Symbiotic Armor,Symbiotic Armor
painting.palamod.through_the_stars.author,Paladium,Paladium
item.palamod.paladium_pollen,Paladium Pollen,Paladium Pollen
item.palamod.paladium_trim_3_helmet.description_0,Eye Armor Trim,Eye Armor Trim
block.palamod.cauldron_core,Cauldron Core,Cauldron Core
block.palamod.endium_flower,Endium Flower,Endium Flower
item.palamod.titane_fastsword,Titane Fastsword,Titane Fastsword
biome.palamod.erable,Erable,Erable
item.palamod.pickaxe_of_the_god.description_0,POG - Level : 1,POG - Level : 1
block.palamod.erable_stairs,Erable Escaliers,Erable Stairs
gui.palamod.crusher_gui.label_mixed_coal,Mixed Coal,Mixed Coal
painting.palamod.in_the_desert.author,Paladium,Paladium
item.palamod.shovel_pattern,Shovel Pattern,Shovel Pattern
item.palamod.order_vs_chaos_book,Order Vs Chaos Book,Order Vs Chaos Book
item.palamod.tournament_blue_boots,Tournament Blue Boot,Tournament Blue Boot
item.palamod.axe_pattern,Axe Pattern,Axe Pattern
advancements.welcometo_paladium.descr,Let the adventure begin!,Let the adventure begin!
item.palamod.pog_item_tab,POG Item Tab,POG Item Tab
item.palamod.purifier_hat_helmet,Purificateur Hat,Purifier Hat
item.palamod.orange_blue_seed,Orange Blue Seed,Orange Blue Seed
death.attack.corruption_damage,%1$s succumbed to corruption,%1$s succumbed to corruption
item.palamod.paladium_trim_9_leggings.description_0,Wayfinder Armor Trim,Wayfinder Armor Trim
item.palamod.paladium_small_ring,Paladium Small Ring,Paladium Small Ring
item.palamod.halloween_axe,Halloween Axe,Halloween Axe
gui.palamod.back_pack_paladium.label_backpack,Paladium BackPack,Paladium BackPack
gui.palamod.admin_radiogui.label_admin_radio,Admin Radio,Admin Radio
item.palamod.magical_tool,Magical Tool,Magical Tool
item.palamod.chaos_chestplate,Plastron d'Chaos,Chaos Chestplate
block.palamod.findium_block,Findium Block,Findium Block
block.palamod.online_detector,Online Detector,Online Detector
item.palamod.re_fuzay_disk.desc,ReFuzay,ReFuzay
item.palamod.titane_hammer,Titane Marteau,Titane Hammer
item.palamod.villager_head_helmet,Villager Head,Villager Head
gui.palamod.paladium_book_gui.label_paladium_in_order_to,Paladium in order to,Paladium in order to
item.palamod.jump_stick,Jump Stick,Jump Stick
item.palamod.paladium_trim_8_helmet,Casque d'Paladium,Paladium Helmet
block.palamod.guardian_box_frame,Guardian Box Frame,Guardian Box Frame
block.palamod.angelic_water,Angelic Water,Angelic Water
item.palamod.findium,Findium,Findium
gui.palamod.paladium_book_gui.button_next,NEXT,NEXT
item.palamod.sealed_xp_bottle_sealed,Sealed XP Bottle,Sealed XP Bottle
item.palamod.wither_dust,Wither Dust,Wither Dust
item.palamod.paladium_broadsword,Paladium Broadsword,Paladium Broadsword
item.palamod.green_paladium_seedplanter,Green Paladium Seedplanter,Green Paladium Seedplanter
block.palamod.antimatter,Antimatter,Antimatter
gui.palamod.amethyst_chest_gui.label_paladium_chest,Coffre de Améthyste,Amethyst Chest
item.palamod.green_paladium_pickaxe,Green Paladium Pioche,Green Paladium Pickaxe
item.palamod.amethyst_excavator,Améthyste Excavator,Amethyst Excavator
item.palamod.capture_sword,Capture Sword,Capture Sword
item.palamod.amethyst_ingot,Améthyste Ingot,Amethyst Ingot
block.palamod.erable_wood,Erable Wood,Erable Wood
painting.palamod.gray_horizon.title,Gray Horizon,Gray Horizon
item.palamod.paladium_trim_7_boots.description_0,Vex Armor Trim,Vex Armor Trim
item.palamod.palabot_spawn_egg,Palabot Spawn Egg,Palabot Spawn Egg
item.palamod.candy_pink,Candy Pink,Candy Pink
gui.palamod.titane_chest_gui.label_paladium_chest,Coffre de Titane,Titane Chest
item.palamod.legendary_stone_fortune,Legendary Stone Fortune,Legendary Stone Fortune
item.palamod.capture_stone_full_mooshroom,Capture Stone Full,Capture Stone Full
item.palamod.corrupted_zombie_spawn_egg,Corrupted Zombie Spawn Egg,Corrupted Zombie Spawn Egg
item.palamod.axe_head,Axe Head,Axe Head
item.palamod.legendary_stone_teleportation.description_0,Click to teleport to a random location,Click to teleport to a random location
gui.palamod.paladium_book_gui.button_play,Play,Play
item_group.palamod.pog_tab,§5Pioche Of The God,§5Pickaxe Of The God
advancements.go_paladiump.title,[Level 1],[Level 1]
